Upcoming,"Προσεχής, επικείμενος"
Relief ,Ανακούφιση / ενίσχυση
Poverty-stricken,"Εξαθλιωμένος, πάμφτωχος "
Ridicule,"Κοροϊδεύω, χλευάζω"
Dilapidated,"Ρημαγμένος,  ερειπωμένος"
Shanty town,Φτωχογειτωνιά
Spring up,“Ξεφυτρώνω”
Governor,Κυβερνήτης
Elect,Εκλέγω
Declare ,"Κηρύσσω, καθιερώνω"
Bank holiday,Αργία
Stabilise,Σταθεροποιώ
Administration,Διακυβέρνηση
Lay the groundwork for sth,"Προετοιμάζω το έδαφος, θέτω τις βάσεις για κτ"
Reform,Μεταρρυθμίζω 
Sector,Τομέας
Handshop,"Πρόβλημα, δυσκολία"
Bring sth on,Προκαλώ κτ
Impact ,Επηρεάζω 
Provide for sb,"Συντηρώ, παρέχω οικονομική στήριξη σε κπ"
Live through sth,"Υπομένω, υφίσταμαι κτ "
Frugality,"Λιτότητα, οικονομία"
Affluent ,"Πλούσιος, εύπορος"
Spontaneous,Αυθόρμητος
Swift,"Γρήγορος, ταχύς"
Severe ,"Σοβαρός, σφοδρός"
Equally,Εξίσου
Haptics ,Τεχνολογία αφής
Scrawl,"Γράφω (πρόχειρα, βιαστικά)"
Vibration,Δόνηση
Link sth to ,Συνδέω κτ με 
Guide,Καθοδηγώ
Alternatively ,"Εναλλακτικά, διαφορετικά"
Partial,Μερικός
Predetermine,Προκαθορίζω
Rapid,Γρήγορος
Novice,"Αρχάριος, πρωτάρης"
Interact with,Αλληλεπιδρώ με 
Virtual reality,Εικονική πραγματικότητα
Admittedly,Ομολογουμένως
Tangible,"Χειροπιαστός, απτός"
Undertake,Αναλαμβάνω
Commercially,"Στο εμπόριο, εμπορικά"
Explosion,Έκρηξη 
Enhance ,Βελτιώνω
Input,Ηλεκτρονικά δεδομένα
Complete with sth,"Μαζί με, συμπεριλαμβανομένου κτ (έξτρα)"
Vein,Φλέβα 
Trainee,Εκπαιδευόμενος
Field,Πρακτική εφαρμογή
Puncture ,Τρυπώ
Refined ,Εκλεπτυσμένος
Underneath ,Κάτω από
Headset,Ακουστικά
Upgrade ,Αναβαθμίζω
Simultaneously,Ταυτόχρονα
Vegan ,Αυστηρά χορτογράφος
Attendee,"Συμμετέχων, παρευρισκόμενος"
Reunion,Επανένωση
Reforestation ,Αναδάσωση
Struggle,"Πασχίζω, αγωνίζομαι "
Give up,"Σταματώ, εγκαταλείπω κτ"
Put out ,Σβήνω (φωτιά)
Cut off,Αποκόπτω
Skyscraper ,Ουρανοξύστης 
Goatherd,Γιδοβοσκός
Coffee bean,Κόκκος καφέ
Monk,"Καλόγερος, μοναχός"
Prayer ,Προσευχή
Stimulant,Διεγερτική ουσία
Alleged ,Υποτιθέμενος
Ground ,Αλεσμένος
Merchant ,Έμπορος
Walk of life ,Κοινωνικό στρώμα
