Residential,Κατοικήσιμος
Urge,"Παροτρύνω, προτρέπω"
Side effect,Παρενέργεια
On no account,Σε καμία περίπτωση
Prior,Προηγούμενος
Warehouse,Αποθήκη
Contain,Περιέχω
Implicit,"Που υποβόσκει, που υπονοείται"
Subtlle,Ανεπαίσθητος
Seek to do sth,Επιδιώκω να κάνω κτ
Billboard,Μεγάλη διαφημιστική πινακίδα
Catchy,"Πιασάρικος, ευχάριστος"
Jingle,Μουσική από διαφήμιση
Realise,Πραγματοποιώ
Proponent,"Υπέρμαχος, υποστηρικτής"
Appoint,Διορίζω
